dimensie/0/_name,dimensie/0/__text,dimensie/1/_name,dimensie/1/__text,dimensie/2/_name,dimensie/2/__text,dimensie/3/_name,dimensie/3/__text
aantal,"29550072,7",jaar,1985,netwerk,snelwegen,voertuigtype,motor
aantal,"70546478,71",jaar,1985,netwerk,gewestwegen,voertuigtype,motor
aantal,"54830520,45",jaar,1985,netwerk,gemeentewegen,voertuigtype,motor
aantal,7669447044,jaar,1985,netwerk,snelwegen,voertuigtype,personenwagen
aantal,11937786944,jaar,1985,netwerk,gewestwegen,voertuigtype,personenwagen
aantal,7005599115,jaar,1985,netwerk,gemeentewegen,voertuigtype,personenwagen
aantal,"454801607,5",jaar,1985,netwerk,snelwegen,voertuigtype,bestelwagen
aantal,"533921103,5",jaar,1985,netwerk,gewestwegen,voertuigtype,bestelwagen
aantal,"408208910,5",jaar,1985,netwerk,gemeentewegen,voertuigtype,bestelwagen
aantal,"78062244,16",jaar,1985,netwerk,snelwegen,voertuigtype,bus
aantal,151013556,jaar,1985,netwerk,gewestwegen,voertuigtype,bus
aantal,"73028919,23",jaar,1985,netwerk,gemeentewegen,voertuigtype,bus
aantal,"866288,7762",jaar,1985,netwerk,snelwegen,voertuigtype,speciaal voertuig
aantal,"34997667,17",jaar,1985,netwerk,gewestwegen,voertuigtype,speciaal voertuig
aantal,"101110931,1",jaar,1985,netwerk,gemeentewegen,voertuigtype,speciaal voertuig
aantal,"477710132,9",jaar,1985,netwerk,snelwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"676391921,8",jaar,1985,netwerk,gewestwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"151313410,5",jaar,1985,netwerk,gemeentewegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,708046693,jaar,1985,netwerk,snelwegen,voertuigtype,trekker met oplegger
aantal,288524075,jaar,1985,netwerk,gewestwegen,voertuigtype,trekker met oplegger
aantal,"38514714,65",jaar,1985,netwerk,gemeentewegen,voertuigtype,trekker met oplegger
aantal,"206946763,2",jaar,1985,netwerk,snelwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"85427376,56",jaar,1985,netwerk,gewestwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"11530881,98",jaar,1985,netwerk,gemeentewegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"31592903,65",jaar,1986,netwerk,snelwegen,voertuigtype,motor
aantal,"74142132,84",jaar,1986,netwerk,gewestwegen,voertuigtype,motor
aantal,"54563479,66",jaar,1986,netwerk,gemeentewegen,voertuigtype,motor
aantal,8217128398,jaar,1986,netwerk,snelwegen,voertuigtype,personenwagen
aantal,12825314756,jaar,1986,netwerk,gewestwegen,voertuigtype,personenwagen
aantal,7295379299,jaar,1986,netwerk,gemeentewegen,voertuigtype,personenwagen
aantal,"492023338,6",jaar,1986,netwerk,snelwegen,voertuigtype,bestelwagen
aantal,589966316,jaar,1986,netwerk,gewestwegen,voertuigtype,bestelwagen
aantal,"426988669,1",jaar,1986,netwerk,gemeentewegen,voertuigtype,bestelwagen
aantal,"80262494,43",jaar,1986,netwerk,snelwegen,voertuigtype,bus
aantal,"153618232,1",jaar,1986,netwerk,gewestwegen,voertuigtype,bus
